from,to,line,km
낙성대,서울대입구,2호선,1.06
남구로,대림,7호선,1.14
남동구청,만수,인천2호선,0.88
남동구청,인천대공원,인천2호선,1.41
남동인더스파크,원인재,수인·분당선,0.98
남동인더스파크,호구포,수인·분당선,1.36
남부터미널,양재,3호선,1.59
남성,숭실대입구,7호선,2.01
남성,이수,7호선,0.90
남영,서울역,1호선,1.45
남영,용산,1호선,1.10
남위례,복정,8호선,1.54
남위례,산성,8호선,1.09
남춘천,춘천,경춘선,2.37
남태령,사당,4호선,1.50
남태령,선바위,4호선,1.93
남한산성입구,단대오거리,8호선,0.77
남한산성입구,산성,8호선,1.05
내방,이수,7호선,0.92
노들,노량진,9호선,1.04
노들,흑석,9호선,1.05
노량진,대방,1호선,1.45
노량진,샛강,9호선,1.26
노량진,용산,1호선,2.87
노원,마들,7호선,1.04
노원,상계,4호선,1.00
노원,중계,7호선,1.19
노원,창동,4호선,1.43
녹번,불광,3호선,1.10
녹번,홍제,3호선,1.56
녹사평,삼각지,6호선,1.20
녹사평,이태원,6호선,0.70
녹양,양주,1호선,1.66
녹천,월계,1호선,1.44
녹천,창동,1호선,1.09
논현,반포,7호선,0.93
논현,신논현,신분당선,0.66
논현,신사,신분당선,0.72
논현,학동,7호선,0.90
능곡,대곡,경의·중앙선,1.65
능곡,대곡,서해선,1.65
능곡,행신,경의·중앙선,1.51
다산,동구릉,8호선,1.82
다산,별내,8호선,2.77
단대오거리,신흥,8호선,0.92
달미,선부,서해선,1.63
달미,시흥능곡,서해선,2.36
달월,오이도,수인·분당선,2.09
달월,월곶,수인·분당선,1.31
답십리,마장,5호선,0.87
답십리,장한평,5호선,1.20
당곡,보라매병원,신림선,0.48
당곡,신림,신림선,0.63
당산,선유도,9호선,0.83
당산,영등포구청,2호선,1.09
당산,합정,2호선,2.09
당정,의왕,1호선,2.56
대곡,백석,3호선,2.28
대곡,연신내,GTX-A,9.89
대곡,킨텍스,GTX-A,6.55
대곡,화정,3호선,2.04
대림,신도림,2호선,1.77
대림,신풍,7호선,1.45
대모산입구,수서,수인·분당선,2.61
대방,샛강,신림선,0.50
대방,서울지방병무청,신림선,0.86
대방,신길,1호선,0.90
대성리,마석,경춘선,6.90
대성리,청평,경춘선,7.08
대야미,반월,4호선,2.08
대야미,수리산,4호선,2.64
대청,일원,3호선,1.17
대청,학여울,3호선,0.90
대치,도곡,3호선,0.79
대치,학여울,3호선,0.63
대화,주엽,3호선,1.39
덕계,덕정,1호선,2.76
덕계,양주,1호선,5.07
덕소,도심,경의·중앙선,1.50
덕소,양정,경의·중앙선,2.25
덕정,지행,1호선,5.48
도곡,매봉,3호선,0.86
도곡,한티,수인·분당선,0.64
도농,양정,경의·중앙선,2.93
도라산,임진강,경의·중앙선,3.78
도림천,신도림,2호선,0.97
도림천,양천구청,2호선,1.49
도봉,도봉산,1호선,1.18
도봉,방학,1호선,1.30
도봉산,망월사,1호선,2.30
도봉산,수락산,7호선,1.53
도봉산,장암,7호선,1.40
도심,팔당,경의·중앙선,4.00
도원,동인천,1호선,1.10
도원,제물포,1호선,1.35
도화,제물포,1호선,0.96
도화,주안,1호선,1.02
독립문,무악재,3호선,1.09
독바위,불광,6호선,0.98
독바위,연신내,6호선,1.08
독정,완정,인천2호선,0.91
돌곶이,상월곡,6호선,0.87
돌곶이,석계,6호선,0.95
동대문,동대문역사문화공원,4호선,0.55
동대문,동묘앞,1호선,0.57
동대문,종로5가,1호선,0.72
동대문,혜화,4호선,1.43
동대문역사문화공원,신당,2호선,1.03
동대문역사문화공원,을지로4가,2호선,0.90
동대문역사문화공원,을지로4가,5호선,0.90
동대문역사문화공원,청구,5호선,0.80
동대문역사문화공원,충무로,4호선,1.32
동대입구,약수,3호선,0.63
동대입구,충무로,3호선,0.98
동두천,보산,1호선,1.50
동두천,소요산,1호선,2.33
동두천중앙,보산,1호선,1.39
동두천중앙,지행,1호선,1.04
동막,동춘,인천1호선,0.91
동막,캠퍼스타운,인천1호선,1.59
동묘앞,신당,6호선,0.73
동묘앞,신설동,1호선,0.98
동묘앞,창신,6호선,0.93
동백,어정,에버라인,1.03
동백,초당,에버라인,1.09
동수,부평,인천1호선,0.69
동수,부평삼거리,인천1호선,1.11
동암,백운,1호선,1.42
동오,새말,의정부경전철,0.71
동오,의정부중앙,의정부경전철,0.67
동인천,인천,1호선,1.33
동작,이촌,4호선,2.37
동작,총신대입구,4호선,1.68
동작,흑석,9호선,1.64
동천,미금,신분당선,1.45
동천,수지구청,신분당선,1.85
동춘,원인재,인천1호선,1.10
두정,직산,1호선,4.13
두정,천안,1호선,2.53
둔전,보평,에버라인,1.02
둔전,전대·에버랜드,에버라인,2.09
둔촌동,올림픽공원,5호선,1.40
둔촌오륜,올림픽공원,9호선,0.82
둔촌오륜,중앙보훈병원,9호선,1.28
등촌,염창,9호선,1.07
등촌,증미,9호선,0.73
디지털미디어시티,마곡나루,공항철도,6.31
디지털미디어시티,수색,경의·중앙선,0.48
디지털미디어시티,월드컵경기장,6호선,0.82
디지털미디어시티,증산,6호선,1.28
디지털미디어시티,홍대입구,공항철도,3.22
뚝섬,성수,2호선,0.82
뚝섬,한양대,2호선,0.94
마곡,발산,5호선,1.14
마곡,송정,5호선,1.13
마곡나루,신방화,9호선,0.88
마곡나루,양천향교,9호선,1.21
마두,백석,3호선,1.34
마두,정발산,3호선,0.94
마들,수락산,7호선,1.38
마산,장기,김포골드라인,2.22
마석,천마산,경춘선,2.45
마장,왕십리,5호선,0.74
마전,완정,인천2호선,0.73
마포,여의나루,5호선,1.85
마포구청,망원,6호선,1.03
마포구청,월드컵경기장,6호선,0.82
만수,모래내시장,인천2호선,1.09
망우,상봉,경의·중앙선,0.69
망우,상봉,경춘선,0.69
망우,신내,경춘선,1.83
망우,양원,경의·중앙선,1.61
망원,합정,6호선,0.77
망월사,회룡,1호선,1.74
망포,매탄권선,수인·분당선,1.68
망포,영통,수인·분당선,1.41
매교,수원,수인·분당선,1.28
매교,수원시청,수인·분당선,1.49
매봉,양재,3호선,1.15
매탄권선,수원시청,수인·분당선,1.23
먹골,중화,7호선,1.10
먹골,태릉입구,7호선,0.70
면목,사가정,7호선,0.86
면목,상봉,7호선,0.95
명동,충무로,4호선,0.75
명동,회현,4호선,0.73
명지대,시청·용인대,에버라인,1.02
명학,안양,1호선,2.17
모란,수진,8호선,1.18
모란,야탑,수인·분당선,2.32
모란,태평,수인·분당선,0.85
모래내시장,석천사거리,인천2호선,0.78
목동,신정,5호선,0.77
목동,오목교,5호선,0.95
몽촌토성,잠실,8호선,1.06
무악재,홍제,3호선,0.89
문래,신도림,2호선,1.10
문래,영등포구청,2호선,0.78
문산,운천,경의·중앙선,3.15
문산,파주,경의·중앙선,4.42
문정,장지,8호선,0.83
문학경기장,선학,인천1호선,0.86
문학경기장,인천터미널,인천1호선,0.80
미금,오리,수인·분당선,1.04
미금,정자,수인·분당선,1.71
미금,정자,신분당선,1.71
미사,하남풍산,5호선,1.53
미아,미아사거리,4호선,1.40
미아,수유,4호선,1.40
박촌,임학,인천1호선,1.09
반월,상록수,4호선,3.46
발곡,회룡,의정부경전철,0.55
발산,우장산,5호선,1.07
방배,사당,2호선,1.45
방배,서초,2호선,1.45
방이,오금,5호선,0.75
방이,올림픽공원,5호선,0.91
방학,창동,1호선,1.52
배방,온양온천,1호선,4.45
배방,탕정,1호선,3.06
백마,풍산,경의·중앙선,1.87
백마,풍산,서해선,1.87
백운,부평,1호선,1.77
버티고개,약수,6호선,0.81
버티고개,한강진,6호선,1.03
범계,평촌,4호선,1.25
범골,회룡,의정부경전철,0.53
별내,퇴계원,경춘선,1.54
별내별가람,불암산,4호선,3.39
별내별가람,오남,4호선,7.84
